Date,State,Confirmed,Recovered,Deaths
2020-03-01,India,3,0,0
2020-03-02,India,5,0,0
2020-03-03,India,6,0,0
2020-03-04,India,28,0,0
2020-03-05,India,30,0,0
2020-03-06,India,31,0,0
2020-03-07,India,34,0,0
2020-03-08,India,39,0,0
2020-03-09,India,43,0,0
2020-03-10,India,56,4,0
2020-03-11,India,62,4,1
2020-03-12,India,73,4,1
2020-03-13,India,82,10,2
2020-03-14,India,107,10,2
2020-03-15,India,114,13,2
2020-03-16,India,137,14,3
2020-03-17,India,151,14,3
2020-03-18,India,173,15,4
2020-03-19,India,223,23,4
2020-03-20,India,283,23,5
2020-03-21,India,360,24,6
2020-03-22,India,425,28,7
2020-03-23,India,492,37,9
2020-03-24,India,562,40,10
2020-03-25,India,657,43,12
2020-03-26,India,727,45,20
2020-03-27,India,887,73,20
2020-03-28,India,987,84,24
2020-03-29,India,1024,95,27
2020-03-30,India,1251,102,32
2020-03-31,India,1397,123,35
2020-04-01,India,1834,144,41
2020-04-02,India,2069,155,53
2020-04-03,India,2547,163,62
2020-04-04,India,3072,229,75
2020-04-05,India,3577,275,83
2020-04-06,India,4281,319,111
2020-04-07,India,4778,353,124
2020-04-08,India,5311,412,149
2020-04-09,India,5916,473,178
2020-04-10,India,6725,515,206
2020-04-11,India,7598,643,242
2020-04-12,India,8446,765,273
2020-04-13,India,9205,857,331
2020-04-14,India,10453,1036,358
2020-04-15,India,11487,1199,393
2020-04-16,India,12380,1488,414
2020-04-17,India,13430,1768,448
2020-04-18,India,14378,1991,480
2020-04-19,India,15712,2231,507
2020-04-20,India,17265,2547,543
2020-04-21,India,18601,3252,590
2020-04-22,India,20080,3975,645
2020-04-23,India,21370,4370,681
2020-04-24,India,23077,5012,718
2020-04-25,India,24530,5498,780
2020-04-26,India,26283,5939,825
2020-04-27,India,27890,6523,881
2020-04-28,India,29435,7137,934
2020-04-29,India,31324,7747,1008
2020-04-30,India,33062,8437,1079
2020-05-01,India,35043,9068,1147
2020-05-02,India,37136,10007,1218
2020-05-03,India,39699,10886,1301
2020-05-04,India,42533,11707,1373
2020-05-05,India,46437,12847,1568
2020-05-06,India,49400,14141,1694
2020-05-07,India,52952,15266,1785
2020-05-08,India,56342,16776,1886
2020-05-09,India,59662,17887,1981
2020-05-10,India,62939,19358,2109
2020-05-11,India,67152,20917,2206
2020-05-12,India,70756,22455,2293
2020-05-13,India,74281,24386,2415
2020-05-14,India,78003,26235,2549
2020-05-15,India,81997,27920,2649
2020-05-16,India,85784,30258,2752
2020-05-17,India,90648,34108,2871
2020-05-18,India,95698,36795,3025
2020-05-19,India,100328,39233,3156
2020-05-20,India,106750,42298,3303
2020-05-21,India,112359,45300,3435
2020-05-22,India,118447,48553,3583
2020-05-23,India,125101,51784,3720
2020-05-24,India,131868,54385,3867
2020-05-25,India,138845,57721,4021
2020-05-26,India,145380,60491,4167
2020-05-27,India,151767,64426,4337
2020-05-28,India,158333,67692,4531
2020-05-29,India,165386,70920,4711
2020-05-30,India,173491,82370,4971
